,transaction_date,owner,ticker,asset_type,type,amount,senator,est_amt,5_day_pct_change,15_day_pct_change,30_day_pct_change
5322,6/15/2017,Spouse,TSM,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0.035835057,0.008982586,0.04482011
5323,6/15/2017,Spouse,STI,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.023027455,0.031239012,0.010175017
5324,6/15/2017,Spouse,SU,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.023050907,-0.035593279,0.10033898
5325,6/15/2017,Spouse,STT,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.00135143,0.027666324,0.053677297
5326,6/15/2017,Spouse,SO,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.025720018,-0.084122898,-0.081222234
5327,6/15/2017,Spouse,SLB,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.029110512,-0.033417637,0.016783059
5328,6/15/2017,Spouse,SNY,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0.038517898,0.002721394,-0.004396105
5329,6/15/2017,Spouse,SABR,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0.000887751,-0.042881461,-0.025909747
5330,6/15/2017,Spouse,RAI,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,,,
5331,6/15/2017,Spouse,RTN,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,,,
5332,6/15/2017,Spouse,QCOM,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.008080202,-0.027753477,-0.071139977
5333,6/15/2017,Spouse,PSA,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.007052882,-0.02656578,-0.046266714
5334,6/15/2017,Spouse,PRU,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.045899431,0.028444842,0.045437746
5335,6/15/2017,Spouse,PG,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.003916005,-0.019355611,0.017204389
5336,6/15/2017,Spouse,PDM,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.020351335,-0.046715905,-0.030989624
5337,6/15/2017,Spouse,PFE,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0.038098137,0.016458443,0.010362573
5338,6/15/2017,Spouse,PAYX,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.021900436,-0.054503694,-0.04093158
5339,6/15/2017,Spouse,PPL,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.010649018,-0.034736233,-0.031947287
5340,6/15/2017,Spouse,MS,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.001789997,0.03043181,0.049640123
5341,6/15/2017,Spouse,TAP,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.019283153,-0.017229264,0.01677338
5342,6/15/2017,Spouse,MSFT,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0.005150039,-0.00629494,0.044921156
5343,6/15/2017,Spouse,MET,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.0184245,0.056025457,0.038728983
5344,6/15/2017,Spouse,MRK,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0.0447857,-0.000474395,0.014559556
5345,6/15/2017,Spouse,MXIM,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.023687299,-0.023900821,-0.029662662
5346,6/15/2017,Spouse,MDC,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0.017462129,0.035215334,0.009313113
5347,6/15/2017,Spouse,MTB,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.012506895,0.022289754,-0.005696133
5348,6/15/2017,Spouse,KMI,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.012227636,0.019138602,0.091235542
5349,6/15/2017,Spouse,KMB,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0.007109065,-0.030729302,-0.063981132
5350,6/15/2017,Spouse,KEY,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.025695867,0.028907901,-0.041220243
5351,6/15/2017,Spouse,KAR,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.034791263,-0.041966582,-0.019745853
5352,6/15/2017,Spouse,JNJ,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0.022624793,-0.00375818,-0.008944488
5353,6/15/2017,Spouse,JPM,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0.005198484,0.090057326,0.060206944
5354,6/15/2017,Spouse,HSY,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.037952576,-0.078081512,-0.076688653
5355,6/15/2017,Spouse,GSK,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0.016808565,-0.026940146,-0.057564159
5356,6/15/2017,Spouse,GILD,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0.087486651,0.068508185,0.171732947
5357,6/15/2017,Spouse,GM,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.011849831,0.009826521,0.033815094
5358,6/15/2017,Spouse,GE,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.039748316,-0.088545424,-0.110155341
5359,6/15/2017,Spouse,GD,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.003811316,0.00039747,-0.016105033
5360,6/15/2017,Spouse,XOM,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.014344708,-0.024799196,-0.032336491
5361,6/15/2017,Spouse,EXC,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.004345476,-0.033676883,0.042911617
5362,6/15/2017,Spouse,ETR,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.010495933,-0.052980101,-0.0472323
5363,6/15/2017,Spouse,DNKN,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.011919601,-0.021526458,-0.061554942
5364,6/15/2017,Spouse,DUK,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.007705591,-0.040598137,-0.023461615
5365,6/15/2017,Spouse,DOW,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0,0,0
5366,6/15/2017,Spouse,DIS,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.016606885,-0.017846745,0.045272725
5367,6/15/2017,Spouse,CCI,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.015399933,-0.01806528,-0.007107817
5368,6/15/2017,Spouse,COP,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.0127781,-0.052654841,0.003224846
5369,6/15/2017,Spouse,CMA,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.035907146,0.007964342,-0.028347508
5370,6/15/2017,Spouse,CMCSA,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.036196984,-0.065458149,-0.042439715
5371,6/15/2017,Spouse,KO,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.003977934,-0.019005525,0.016795594
5372,6/15/2017,Spouse,CSCO,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0.008549815,-0.012391026,0.007425074
5373,6/15/2017,Spouse,CVX,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.017680763,-0.026709277,0.016834334
5374,6/15/2017,Spouse,CVS,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.035834543,-0.018104721,0.002230118
5375,6/15/2017,Spouse,BMY,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0.056190012,0.037218387,0.025345159
5376,6/15/2017,Spouse,BA,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0.020414365,0.035405453,0.234433543
5377,6/15/2017,Spouse,BAC,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.025913487,0.054800272,0.020815531
5378,6/15/2017,Spouse,BGS,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.076923188,-0.119920158,-0.079045758
5379,6/15/2017,Spouse,AAPL,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0.00928713,-0.000762411,0.036108045
5380,6/15/2017,Spouse,APA,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.045397295,-0.05627599,0.051743338
5381,6/15/2017,Spouse,AMGN,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0.059167846,0.044604302,0.063555082
5382,6/15/2017,Spouse,AMT,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0,0.017345496,0.057079633
5383,6/15/2017,Spouse,T,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.019052468,-0.035490742,0.017194534
5384,6/15/2017,Spouse,LYB,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.001622094,0.04729227,0.12166201
5385,6/15/2017,Spouse,TEL,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.000380525,0.003044307,0.038686185
5386,6/15/2017,Spouse,CB,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.012550898,-0.001071325,-0.009048127
5387,6/15/2017,Spouse,MDT,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0.016312992,0.008646654,-0.03343736
5388,6/15/2017,Spouse,ETN,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,-0.004859527,0.042290558,0.030076033
5389,6/15/2017,Spouse,DLPH,Stock,Sale,"$1,001 - $15,000",Patty Murray,-8000.5,0,0,0
5391,6/19/2017,Joint,HACK,Stock,Purchase,"$1,001 - $15,000",John F Reed,8000.5,0.005623591,0.003969586,-0.025140603
5392,6/19/2017,Joint,IYT,Stock,Purchase,"$1,001 - $15,000",John F Reed,8000.5,-0.002573839,0.013997313,-0.033944427
5393,6/19/2017,Joint,ADI,Stock,Purchase,"$1,001 - $15,000",John F Reed,8000.5,0.002488271,-0.006345647,-0.017668347
5394,6/19/2017,Joint,XBI,Stock,Purchase,"$1,001 - $15,000",John F Reed,8000.5,0.080097157,0.04962255,0.039509002
5395,6/19/2017,Self,WFM,Stock,Sale,"$1,001 - $15,000",John F Reed,-8000.5,,,
5397,5/10/2017,Joint,GME,Stock,Sale,"$1,001 - $15,000",Tammy Duckworth,-8000.5,-0.044488971,-0.086973978,-0.162718743
5398,5/10/2017,Joint,CAT,Stock,Sale,"$1,001 - $15,000",Tammy Duckworth,-8000.5,-0.002192194,0.052710095,0.034675024
5399,5/9/2017,Joint,POT,Stock,Sale,"$1,001 - $15,000",Tammy Duckworth,-8000.5,,,
5402,5/24/2017,Spouse,BIVV,Stock,Sale,"$1,001 - $15,000",Sheldon Whitehouse,-8000.5,0.034254155,0.041252334,0.110681441
5404,5/5/2017,Child,ADI,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,8000.5,0.037471966,0.092624196,0.066421398
5405,5/16/2017,Child,LB,Stock,Sale,"$1,001 - $15,000",Sheldon Whitehouse,-8000.5,0.038517312,0.072194674,0.13694131
5406,5/24/2017,Child,C,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,8000.5,-0.019110303,0.029387925,0.090573248
5407,5/30/2017,Child,CVS,Stock,Sale,"$15,001 - $50,000",Sheldon Whitehouse,-32500.5,0.014719273,0.013156259,0.008857557
5408,5/30/2017,Child,F,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,8000.5,0.003610132,0.003610132,0.035198527
5409,5/30/2017,Child,MGA,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,8000.5,0.01618258,-0.014187325,0.062292114
5410,5/10/2017,Child,DISH,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,8000.5,0.017836911,0.057402319,0.021890746
5411,5/10/2017,Child,MMC,Stock,Sale,"$1,001 - $15,000",Sheldon Whitehouse,-8000.5,-0.00108424,0.048244985,0.066269138
5412,5/24/2017,Child,WBA,Stock,Sale,"$1,001 - $15,000",Sheldon Whitehouse,-8000.5,0.019856351,0.02457184,-0.038595024
5413,5/24/2017,Spouse,TWTR,Stock,Sale,"$1,001 - $15,000",Sheldon Whitehouse,-8000.5,0.030589608,-0.063959936,0.002224745
5414,5/25/2017,Self,VEVIX,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,8000.5,0.010869572,0.008483621,0.011411357
5415,5/5/2017,Joint,MA,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,8000.5,-0.003148928,0.035148794,0.047574378
5417,5/8/2017,Joint,ADI,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,8000.5,0.050143916,0.110238512,0.042779021
5418,5/16/2017,Joint,BAC,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,8000.5,-0.025010525,-0.054846661,-0.001316044
5419,5/16/2017,Joint,LRCX,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,8000.5,0.005702815,0.066867978,-0.028249451
5420,5/24/2017,Joint,C,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,8000.5,-0.019110303,0.029387925,0.090573248
5421,5/24/2017,Joint,GS,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,8000.5,-0.036171001,0.000677152,0.009866702
5423,5/10/2017,Self,WM,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,8000.5,-0.032288629,0.005062899,0.00953906
5424,5/16/2017,Self,REGN,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,8000.5,0.014557438,0.059923035,0.128510176
5425,5/16/2017,Self,AKAM,Stock,Sale,"$1,001 - $15,000",Sheldon Whitehouse,-8000.5,-0.035401864,-0.012410999,0.030111892
5426,5/24/2017,Self,TWTR,Stock,Sale,"$1,001 - $15,000",Sheldon Whitehouse,-8000.5,0.030589608,-0.063959936,0.002224745
5427,5/24/2017,Self,AMGN,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,8000.5,0.010607856,0.061513505,0.108861573
5428,5/24/2017,Self,IBM,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,8000.5,0.001049034,0.011212457,0.002819478
5429,5/30/2017,Self,F,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,8000.5,0.003610132,0.003610132,0.035198527
5430,5/30/2017,Self,MMM,Stock,Sale,"$15,001 - $50,000",Sheldon Whitehouse,-32500.5,0.014671047,0.053941735,0.043766015
5431,5/30/2017,Self,MGA,Stock,Purchase,"$15,001 - $50,000",Sheldon Whitehouse,32500.5,0.01618258,-0.014187325,0.062292114
5432,5/30/2017,Self,NKE,Stock,Sale,"$1,001 - $15,000",Sheldon Whitehouse,-8000.5,-0.004934549,-0.022378235,0.103901261
5433,5/30/2017,Self,BFAM,Stock,Purchase,"$50,001 - $100,000",James M Inhofe,75000.5,-0.000389795,0.007404516,-0.000129932
5434,5/30/2017,Self,AMGN,Stock,Sale,"$50,001 - $100,000",James M Inhofe,-75000.5,0.036919215,0.080858205,0.126227099
5435,5/9/2017,Self,UL,Stock,Sale,"$50,001 - $100,000",James M Inhofe,-75000.5,0.025297015,0.065925681,0.044652951
5436,5/18/2017,Self,GE,Stock,Sale,"$1,001 - $15,000",Patrick J Toomey,-8000.5,0.00036394,0.01673943,-0.000188597
5437,5/24/2017,Spouse,CVS,Stock,Sale,"$15,001 - $50,000",Susan M Collins,-32500.5,0.024470176,0.048024095,0.029049911
5438,5/24/2017,Spouse,FB,Stock,Purchase,"$1,001 - $15,000",Susan M Collins,8000.5,0.009930722,-0.001599508,0.009330907
5439,5/24/2017,Spouse,AME,Stock,Purchase,"$15,001 - $50,000",Susan M Collins,32500.5,0.008525964,0.021484842,0.0108121
5440,6/5/2017,Joint,FDC,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,,,
5441,6/2/2017,Joint,LYV,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-8000.5,0.015258574,-0.015541092,0.005368817
5442,6/2/2017,Joint,FDC,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,,,
5443,6/1/2017,Joint,RF,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,0.022706937,0.008857018,0.07008819
5444,6/1/2017,Joint,URBN,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,-0.165390492,-0.108218521,-0.064318541
5445,5/24/2017,Joint,UN,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-8000.5,0.021497692,-0.010032119,-0.019527179
5446,5/24/2017,Joint,SYK,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-8000.5,0.033644928,0.008857825,0.011150437
5447,5/24/2017,Joint,VZ,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,0.0326376,0.035523908,-0.021975638
5448,5/24/2017,Joint,RF,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,-0.033637015,0.014369695,0.034797921
5449,5/24/2017,Joint,RF,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,-0.033637015,0.014369695,0.034797921
5450,5/22/2017,Joint,RF,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,-0.007107186,0.030217651,0.060938364
5451,5/22/2017,Joint,URBN,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,-0.006792015,-0.061651011,-0.000522478
5452,5/19/2017,Joint,RF,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,0.002839054,0.024474655,0.061572704
5453,5/18/2017,Joint,RF,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,0.019271963,0.033194595,0.050414596
5454,5/18/2017,Joint,RF,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,0.019271963,0.033194595,0.050414596
5455,5/18/2017,Joint,WFM,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-8000.5,,,
5456,5/18/2017,Joint,URBN,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,-0.029896904,-0.091752516,-0.044329831
5457,5/17/2017,Joint,URBN,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,-0.040816384,-0.165816323,-0.059183665
5458,5/17/2017,Joint,PFE,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,-0.005584685,-0.014892754,0.043437844
5459,5/15/2017,Joint,URBN,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,-0.086396244,-0.13174225,-0.132219587
5460,5/15/2017,Joint,WFM,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-8000.5,,,
5461,5/15/2017,Joint,WFM,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-8000.5,,,
5462,5/15/2017,Joint,URBN,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,-0.086396244,-0.13174225,-0.132219587
5463,5/12/2017,Joint,BCR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-8000.5,,,
5464,5/12/2017,Joint,WFM,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-8000.5,,,
5465,5/12/2017,Joint,URBN,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,-0.099953715,-0.139287374,-0.164275847
5466,5/11/2017,Joint,BCR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-8000.5,,,
5467,5/11/2017,Joint,DISCA,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,-0.0436764,0.006076713,-0.020508888
5468,5/11/2017,Joint,LYV,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-8000.5,-0.000588249,0.040882335,0.024705887
5469,5/11/2017,Joint,URBN,Stock,Purchase,"$15,001 - $50,000","David A Perdue , Jr",32500.5,-0.156888334,-0.177314206,-0.228161667
5470,5/11/2017,Joint,WFM,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-8000.5,,,
5471,5/11/2017,Joint,WFM,Stock,Sale,"$15,001 - $50,000","David A Perdue , Jr",-32500.5,,,
5472,5/10/2017,Joint,DISCA,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,-0.038299501,0.024128654,-0.022596712
5473,5/10/2017,Joint,LYV,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-8000.5,-0.006760715,0.022045855,0.010875924
5474,5/9/2017,Joint,AAPL,Stock,Sale,"$15,001 - $50,000","David A Perdue , Jr",-32500.5,0.013778503,-0.003892724,-0.048820577
5475,5/9/2017,Joint,AAPL,Stock,Sale,"$15,001 - $50,000","David A Perdue , Jr",-32500.5,0.013778503,-0.003892724,-0.048820577
5476,5/8/2017,Joint,LYV,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-8000.5,0.00441181,0.005588195,0.023529389
5477,5/8/2017,Joint,FOX,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",8000.5,0,0,0
